사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하자총승객수,연월,월일,등록일자
2019-01-01,월,경의선,운길산,744.0,681.0,1425.0,2019-01,01-01,20190104
2019-01-01,월,경의선,양수,1359.0,1314.0,2673.0,2019-01,01-01,20190104
2019-01-01,월,경의선,신원,191.0,102.0,293.0,2019-01,01-01,20190104
2019-01-01,월,경의선,국수,399.0,385.0,784.0,2019-01,01-01,20190104
2019-01-01,월,경의선,아신,390.0,357.0,747.0,2019-01,01-01,20190104
2019-01-01,월,경의선,오빈,178.0,156.0,334.0,2019-01,01-01,20190104
2019-01-01,월,경의선,양평,2030.0,1898.0,3928.0,2019-01,01-01,20190104
2019-01-01,월,경의선,원덕,290.0,227.0,517.0,2019-01,01-01,20190104
2019-01-01,월,경의선,용문,1857.0,1643.0,3500.0,2019-01,01-01,20190104
2019-01-01,월,경의선,지평,32.0,21.0,53.0,2019-01,01-01,20190104
2019-01-01,월,1호선,봉명,598.0,613.0,1211.0,2019-01,01-01,20190104
2019-01-01,월,1호선,쌍용,1120.0,1153.0,2273.0,2019-01,01-01,20190104
2019-01-01,월,1호선,아산,2794.0,1701.0,4495.0,2019-01,01-01,20190104
2019-01-01,월,4호선,서울역,39420.0,31121.0,70541.0,2019-01,01-01,20190104
2019-01-01,월,2호선,시청,11807.0,10322.0,22129.0,2019-01,01-01,20190104
2019-01-01,월,1호선,배방,665.0,720.0,1385.0,2019-01,01-01,20190104
2019-01-01,월,1호선,온양온천,4351.0,4524.0,8875.0,2019-01,01-01,20190104
2019-01-01,월,1호선,신창,850.0,1020.0,1870.0,2019-01,01-01,20190104
2019-01-01,월,4호선,서울역,1278.0,919.0,2197.0,2019-01,01-01,20190104
2019-01-01,월,2호선,신촌,329.0,327.0,656.0,2019-01,01-01,20190104
2019-01-01,월,경의선,효창공원앞,1005.0,1105.0,2110.0,2019-01,01-01,20190104
2019-01-01,월,경의선,공덕,1619.0,1346.0,2965.0,2019-01,01-01,20190104
2019-01-01,월,경의선,서강대,1060.0,1049.0,2109.0,2019-01,01-01,20190104
2019-01-01,월,2호선,홍대입구,1314.0,1629.0,2943.0,2019-01,01-01,20190104
2019-01-01,월,경의선,가좌,2315.0,2400.0,4715.0,2019-01,01-01,20190104
2019-01-01,월,경의선,디지털미디어시티,989.0,949.0,1938.0,2019-01,01-01,20190104
